Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function cl cm volume_fractional_change 
0 1.38000000000000e-04 2.50419590329281e+00 3.12497540693475e-02 9.83724545275003e-07 -1.36058450220641e-07 1.00000000000000e+00 
1 1.68535220000000e+01 4.82461735669532e-01 1.39286258025258e-03 1.97220030688668e-01 -1.15794477537590e-01 1.00000000000000e+00 
2 3.19771610000000e+01 3.32284940563306e-01 6.74105946861313e-04 2.13281994965377e-01 -1.25382803914558e-01 1.00000000000000e+00 
3 4.60537540000000e+01 3.29144572274694e-01 6.61396106851123e-04 2.13629789474046e-01 -1.25500510819567e-01 9.99999999999999e-01 
4 6.00997590000000e+01 3.22145018163903e-01 6.32615184372020e-04 2.14429923127100e-01 -1.25500871777784e-01 1.00000000000000e+00 
5 7.53852030000000e+01 2.87934705216983e-01 5.01719931292852e-04 2.18322881087673e-01 -1.25495153573302e-01 1.00000000000000e+00 
6 9.03103260000000e+01 1.37440793665768e-01 1.10814680716429e-04 2.35112778585886e-01 -1.25320019035550e-01 1.00000000000000e+00 
7 1.05298443000000e+02 1.18378505710177e-02 8.03813562891686e-07 2.48732077634165e-01 -1.25418717206759e-01 9.99999999999999e-01 
8 1.20477657000000e+02 5.11466033020086e-04 1.49817575986074e-09 2.49945261060298e-01 -1.25501661249109e-01 1.00000000000000e+00 
9 1.34628218000000e+02 1.15874792064059e-05 7.68893828617638e-13 2.49998759924334e-01 -1.25500096672540e-01 1.00000000000000e+00 
10 1.47485236000000e+02 4.54781078744393e-08 1.18438294930828e-17 2.50000004866997e-01 -1.25500002315625e-01 9.99999999999999e-01 
