Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function cl cm volume_fractional_change 
0 1.14000000000000e-04 2.95763761212066e+00 3.12498360257920e-02 6.55897692309575e-07 -5.80987638950806e-09 1.00000000000000e+00 
1 1.69920040000000e+01 6.04813280006963e-01 1.52202308654445e-03 1.94827124661761e-01 -1.14960878319858e-01 1.00000000000000e+00 
2 3.21261650000000e+01 4.04716391390593e-01 7.07873509243521e-04 2.12373586159627e-01 -1.25349214867117e-01 1.00000000000000e+00 
3 4.64966940000000e+01 4.00303786727705e-01 6.92757125892558e-04 2.12777503418160e-01 -1.25500663009279e-01 1.00000000000000e+00 
4 6.05115100000000e+01 3.91849712902010e-01 6.63165690039268e-04 2.13581167233442e-01 -1.25501407597825e-01 9.99999999999998e-01 
5 7.58153030000000e+01 3.50427192161206e-01 5.27901425702559e-04 2.17506879937360e-01 -1.25502765359029e-01 1.00000000000000e+00 
6 9.10829270000000e+01 1.65429660605690e-01 1.15289459109642e-04 2.34815174738599e-01 -1.25446673371657e-01 1.00000000000000e+00 
7 1.07285315000000e+02 5.48970388224183e-03 1.25018529446157e-07 2.49499962942481e-01 -1.25466904323213e-01 1.00000000000000e+00 
8 1.22064171000000e+02 1.09627848914802e-04 4.98394125846691e-11 2.49990016071656e-01 -1.25500860390669e-01 9.99999999999997e-01 
9 1.35507902000000e+02 4.01117818855238e-06 6.67219755975188e-14 2.49999634700190e-01 -1.25500018759408e-01 1.00000000000000e+00 
10 1.48756339000000e+02 4.27722326336834e-08 7.58662514595508e-18 2.49999996104714e-01 -1.25500000695898e-01 1.00000000000000e+00 
