Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function cl cm volume_fractional_change 
0 1.18000000000000e-04 2.71137842754843e+00 3.12499751996032e-02 9.92016067505716e-08 -5.66760894168564e-08 1.00000000000000e+00 
1 5.21877640000000e+01 3.44145954123332e-01 5.83706190310997e-04 2.15832583056046e-01 -1.19792102533008e-01 9.99999999999999e-01 
2 9.88487160000000e+01 2.39286087275951e-01 2.81445219932996e-04 2.26274687781486e-01 -1.25539719498584e-01 9.99999999999999e-01 
3 1.41653911000000e+02 2.38919898398630e-01 2.80571879322259e-04 2.26311526882373e-01 -1.25500086009133e-01 1.00000000000000e+00 
4 1.85034461000000e+02 2.33573403600798e-01 2.68038513429452e-04 2.26846662727397e-01 -1.25500979323899e-01 9.99999999999999e-01 
5 2.32456198000000e+02 2.07382306450079e-01 2.10858866200836e-04 2.29464232850909e-01 -1.25506284613874e-01 1.00000000000000e+00 
6 2.79428273000000e+02 8.97202381286427e-02 3.91271411466836e-05 2.41153854947302e-01 -1.25553951356456e-01 9.99999999999998e-01 
7 3.27498207000000e+02 1.70565027086003e-03 1.40616811862824e-08 2.50167700215780e-01 -1.25530014899605e-01 1.00000000000000e+00 
8 3.72366063000000e+02 1.49589414641088e-05 1.08169722749945e-12 2.49998529151791e-01 -1.25499789112331e-01 9.99999999999999e-01 
9 4.12719641000000e+02 2.36991775776182e-07 2.71500194839077e-16 2.49999976697631e-01 -1.25500001865424e-01 1.00000000000000e+00 
