Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function CL
1 6.588316e+01 8.423483e-01 2.089139e-02 3.559164e-02
2 1.313777e+02 7.712210e-01 1.123390e-02 9.010736e-02
3 1.971829e+02 1.424305e+00 6.774930e-03 1.235961e-01
4 2.632990e+02 1.378245e+00 3.477278e-03 1.566060e-01
5 3.285953e+02 9.923269e-01 2.121607e-03 1.748600e-01
6 3.919757e+02 7.541093e-01 1.141383e-03 1.922217e-01
7 4.520526e+02 5.286867e-01 5.319335e-04 2.073830e-01
8 5.123365e+02 3.384059e-01 1.728316e-04 2.214080e-01
9 5.721127e+02 1.797667e-01 1.356915e-05 2.347906e-01
10 6.318819e+02 4.681492e-02 3.782093e-07 2.408697e-01
11 6.848067e+02 7.560069e-03 9.040150e-10 2.399575e-01
12 7.310445e+02 3.714354e-04 6.193033e-14 2.399996e-01
