Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function CL
1 6.594172e+01 8.468705e-01 2.084123e-02 3.583717e-02
2 1.317673e+02 7.795300e-01 1.119763e-02 9.034952e-02
3 1.969582e+02 1.416768e+00 6.698165e-03 1.242575e-01
4 2.621800e+02 1.347822e+00 3.338746e-03 1.582841e-01
5 3.271420e+02 9.643115e-01 1.997836e-03 1.767887e-01
6 3.922729e+02 7.254669e-01 1.041622e-03 1.943574e-01
7 4.578479e+02 5.004035e-01 4.526174e-04 2.099129e-01
8 5.233810e+02 3.083338e-01 1.219169e-04 2.243848e-01
9 5.894279e+02 1.484087e-01 1.375109e-06 2.383416e-01
10 6.475850e+02 1.454712e-02 2.557678e-08 2.402262e-01
11 6.984556e+02 1.962458e-03 5.667730e-12 2.399966e-01
