Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function CL
1 6.528176e+01 6.495377e-01 2.271239e-02 2.686908e-02
2 1.311775e+02 5.839275e-01 1.749734e-02 5.293137e-02
3 1.973737e+02 6.982098e-01 1.188795e-02 8.580566e-02
4 2.646062e+02 7.883383e-01 6.685617e-03 1.243659e-01
5 3.301401e+02 7.098569e-01 3.629032e-03 1.548057e-01
6 3.958703e+02 5.870234e-01 1.292889e-03 1.891495e-01
7 4.621912e+02 3.934165e-01 1.023748e-04 2.256909e-01
8 5.277451e+02 1.231313e-01 2.276507e-05 2.467476e-01
9 5.863016e+02 6.140472e-02 1.412666e-07 2.394685e-01
10 6.371048e+02 4.746380e-03 1.792137e-10 2.399811e-01
11 6.806358e+02 1.692822e-04 1.493789e-15 2.400001e-01
